iter	Passed	Remaining
0	1	179
1	2	143
2	3	124
3	4	108
4	5	98
5	5	90
6	6	85
7	7	81
8	7	78
9	8	75
10	9	73
11	9	71
12	10	69
13	11	67
14	11	65
15	12	66
16	13	66
17	14	65
18	15	64
19	16	64
20	17	65
21	18	64
22	19	64
23	20	63
24	20	61
25	21	60
26	21	59
27	22	58
28	23	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	27	49
36	28	48
37	28	47
38	29	46
39	30	45
40	31	44
41	31	43
42	32	43
43	33	43
44	35	42
45	35	41
46	36	40
47	36	40
48	37	39
49	38	38
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	43	30
59	44	29
60	45	28
61	46	28
62	48	28
63	49	27
64	50	26
65	50	26
66	51	25
67	52	24
68	52	23
69	53	22
70	53	22
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	58	16
78	59	15
79	60	15
80	60	14
81	62	13
82	63	12
83	64	12
84	65	11
85	66	10
86	67	10
87	68	9
88	69	8
89	70	7
90	70	6
91	71	6
92	71	5
93	72	4
94	73	3
95	73	3
96	74	2
97	75	1
98	76	0
99	77	0
