iter	Passed	Remaining
0	154	153995
1	156	78048
2	158	52581
3	159	39798
4	161	32138
5	163	27117
6	165	23455
7	166	20693
8	168	18504
9	169	16745
10	170	15313
11	171	14110
12	172	13080
13	173	12201
14	174	11430
15	174	10755
16	175	10159
17	177	9662
18	178	9197
19	179	8777
20	179	8386
21	180	8031
22	181	7706
23	182	7408
24	182	7133
25	183	6881
26	184	6645
27	185	6427
28	185	6226
29	186	6040
30	187	5865
31	188	5699
32	189	5545
33	190	5401
34	191	5280
35	192	5166
36	193	5045
37	194	4933
38	195	4823
39	196	4715
40	197	4613
41	198	4516
42	198	4423
43	199	4333
44	200	4249
45	200	4167
46	201	4088
47	202	4013
48	203	3942
49	203	3875
50	205	3831
51	207	3778
52	208	3718
53	208	3659
54	209	3601
55	210	3545
56	211	3492
57	211	3441
58	212	3393
59	213	3345
60	214	3298
61	214	3252
62	215	3207
63	216	3165
64	217	3123
65	217	3082
66	218	3043
67	220	3017
68	221	2984
69	222	2951
70	222	2916
71	223	2881
72	224	2847
73	224	2815
74	225	2783
75	226	2752
76	227	2721
77	227	2692
78	228	2663
79	229	2635
80	229	2608
81	230	2582
82	231	2553
83	231	2527
84	232	2502
85	233	2481
86	234	2464
87	235	2444
88	236	2422
89	237	2400
90	238	2378
91	238	2358
92	239	2337
93	240	2317
94	241	2296
95	241	2276
96	242	2256
97	243	2237
98	243	2218
99	244	2200
100	245	2182
101	245	2164
102	246	2147
103	247	2133
104	248	2120
105	249	2107
106	250	2093
107	251	2077
108	252	2062
109	252	2046
110	253	2031
111	254	2016
112	255	2002
113	255	1987
114	256	1974
115	257	1961
116	257	1946
117	258	1933
118	259	1919
119	259	1906
120	260	1893
121	261	1881
122	262	1869
123	263	1861
124	265	1858
125	266	1846
126	266	1834
127	267	1824
128	268	1813
129	269	1802
130	270	1791
131	270	1780
132	271	1769
133	272	1758
134	272	1748
135	273	1739
136	274	1729
137	275	1719
138	276	1711
139	277	1702
140	278	1696
141	279	1687
142	280	1679
143	280	1669
144	281	1660
145	282	1652
146	283	1643
147	283	1634
148	284	1625
149	285	1616
150	285	1607
151	286	1599
152	287	1590
153	288	1582
154	288	1573
155	289	1565
156	290	1557
157	290	1550
158	292	1546
159	293	1539
160	293	1531
161	294	1524
162	295	1516
163	296	1509
164	296	1502
165	297	1494
166	298	1487
167	299	1480
168	299	1474
169	300	1467
170	301	1460
171	302	1453
172	302	1447
173	303	1440
174	304	1433
175	304	1427
176	305	1420
177	307	1419
178	308	1413
179	309	1408
180	309	1402
181	310	1395
182	311	1389
183	311	1383
184	312	1377
185	313	1371
186	314	1365
187	314	1359
188	315	1353
189	316	1348
190	316	1342
191	317	1337
192	318	1331
193	319	1326
